tube,Code,date,offset,rowposition,notes,measured,estimated,source
1,0c1,2011-05-18,21,in,In 2011-05-18,21,23,measured
2,0c2,2011-05-18,23,btwn,In 2011-05-18,23,23,measured
3,0c3,2011-05-18,23,in,In 2011-05-18,23,23,measured
4,0c4,2011-05-18,24,btwn,In 2011-05-18,24,23,measured
5,0c5,2011-05-18,22,in,In 2011-05-18,22,23,measured
6,0c6,2011-05-18,23,btwn,In 2011-05-18,23,23,measured
7,0c7,2011-05-18,23,in,In 2011-05-18,23,23,measured
8,0c8,2011-05-18,23,btwn,In 2011-05-18,23,23,measured
9,1c1,2011-05-19,22,in,In 2011-05-19,22,23,measured
10,1c2,2011-05-19,24,btwn,In 2011-05-19,24,23,measured
11,1c3,2011-05-19,23,in,In 2011-05-19,23,23,measured
12,1c4,2011-05-19,24,btwn,In 2011-05-19,24,23,measured
13,2c1,2011-05-19,24,in,In 2011-05-19,24,23,measured
14,2c2,2011-05-19,23,btwn,In 2011-05-19,23,23,measured
15,2c3,2011-05-19,22,in,In 2011-05-19,22,24,measured
16,2c4,2011-05-19,23,btwn,In 2011-05-19,23,23,measured
17,3c1,2011-05-19,23,in,In 2011-05-19,23,23,measured
18,3c2,2011-05-19,24,btwn,In 2011-05-19,24,26,measured
19,3c3,2011-05-19,22,in,In 2011-05-19,22,23,measured
20,3c4,2011-05-19,22,btwn,In 2011-05-19,22,23,measured
21,4c1,2011-05-19,23,in,In 2011-05-19,23,25,measured
22,4c2,2011-05-19,22,btwn,In 2011-05-19,22,23,measured
23,4c3,2011-05-19,22,in,In 2011-05-19,22,23,measured
24,4c4,2011-05-19,23,btwn,In 2011-05-19,23,23,measured
25,0m1,2011-03-14,26,,2011-05: flooded,26,23,measured
26,0m3,2011-03-14,23,,,23,22,measured
27,0m5,2011-03-14,24,,,24,23,measured
28,0m6,2011-03-14,22,,replaced 2011-03,22,23,measured
29,0m7,2011-03-14,21,,replaced 2011-03,21,25,measured
30,0m9,2011-03-14,26,,replaced 2011-03?,26,28,measured
31,0m10,2011-03-14,16,,replaced 2011-03?,16,23,measured
32,0m11,2011-03-14,23,,replaced 2011-03?,23,23,measured
33,1m1,2011-03-14,24,,,24,23,measured
34,1m2,2011-03-14,23,,,23,23,measured
35,1m3,2011-03-14,24,,,24,22,measured
36,1m4,2011-03-14,23,,replaced 2011-03,23,22,measured
37,2m1,2011-03-14,25,,,25,23,measured
38,2m2,2011-03-14,23,,,23,23,measured
39,2m3,2011-03-14,37,,,37,33,measured
40,2m4,2011-03-14,22,,,22,23,measured
41,3m1,2011-03-14,27,,,27,26,measured
42,3m2,2011-03-14,22,,,22,23,measured
43,3m3,2011-03-14,21,,,21,23,measured
44,3m4,2011-03-14,24,,,24,22,measured
45,4m1,2011-03-14,24,,,24,23,measured
46,4m2,2011-03-14,22,,,22,23,measured
47,4m3,2011-03-14,22,,,22,23,measured
48,4m4,2011-03-14,21,,,21,23,measured
49,0s2,2011-03-14,26,,,26,23,measured
50,0s3,2011-03-14,23,,,23,22,measured
51,0s5,2011-03-14,30,,replaced 2011-03; not measured yet,NA,30,image
52,0s6,2011-03-14,33,,,33,27,measured
53,0s8,2011-03-14,25,,,25,23,measured
54,0s9,2011-03-14,26,,,26,23,measured
55,0s11,2011-03-14,25,,tube is labeled 0s12,25,22,measured
56,0s12,2011-03-14,24,,,24,23,measured
57,1s1,2011-03-14,22,,replaced 2011-03,22,22,measured
58,1s2,2011-03-14,24,,,24,23,measured
59,1s3,2011-03-14,24,,,24,23,measured
60,1s4,2011-03-14,27,,,27,24,measured
61,2s1,2011-03-14,23,,,23,23,measured
62,2s2,2011-03-14,22,,,22,23,measured
63,2s3,2011-03-14,25,,,25,25,measured
64,2s4,2011-03-14,25,,,25,23,measured
65,3s1,2011-03-14,23,,,23,23,measured
66,3s2,2011-03-14,23,,replaced 2011-03,23,24,measured
67,3s3,2011-03-14,23,,replaced 2011-03,23,23,measured
68,3s4,2011-03-14,32,,replaced 2011-03,32,28,measured
69,4s1,2011-03-14,21,,,21,23,measured
70,4s2,2011-03-14,26,,,26,24,measured
71,4s3,2011-03-14,26,,,26,23,measured
72,4s4,2011-03-14,22,,replaced 2011-03,22,23,measured
73,0p2,2011-03-14,23,,replaced 2011-03,23,23,measured
74,0p3,2011-03-14,24,,,24,23,measured
75,0p5,2011-03-14,19,,,19,23,measured
76,0p6,2011-03-14,23,,,23,22,measured
77,0p7,2011-03-14,21,,replaced 2011-03,21,22,measured
78,0p9,2011-03-14,24,,,24,23,measured
79,0p11,2011-03-14,23,,replaced 2011-03,23,23,measured
80,0p12,2011-03-14,26,,,26,22,measured
81,1p1,2011-03-14,22,,replaced 2011-03,22,23,measured
82,1p2,2011-03-14,22,,,22,23,measured
83,1p3,2011-03-14,28,,,28,27,measured
84,1p4,2011-03-14,26,,,26,24,measured
85,2p1,2011-03-14,24,,,24,23,measured
86,2p2,2011-03-14,23,,,23,23,measured
87,2p3,2011-03-14,22,,,22,25,measured
88,2p4,2011-03-14,24,,,24,26,measured
89,3p1,2011-03-14,24,,,24,23,measured
90,3p2,2011-03-14,22,,,22,23,measured
91,3p3,2011-03-14,24,,replaced 2011-03,24,26,measured
92,3p4,2011-03-14,25,,,25,24,measured
93,4p1,2011-03-14,27,,,27,28,measured
94,4p2,2011-03-14,24,,replaced 2011-03,24,26,measured
95,4p3,2011-03-14,24,,,24,23,measured
96,4p4,2011-03-14,32,,,32,29,measured
